"index","draw_date","white1","white2","white3","white4","white5","pb"
1,"1997-11-05",2,19,35,24,28,26
2,"1997-11-08",40,17,21,7,49,37
3,"1997-11-12",41,14,13,29,16,1
4,"1997-11-15",32,7,45,21,26,8
5,"1997-11-19",19,10,48,3,21,22
6,"1997-11-22",22,31,3,7,14,2
7,"1997-11-26",15,46,34,23,40,35
8,"1997-11-29",11,27,13,2,31,23
9,"1997-12-03",18,9,14,47,42,32
10,"1997-12-06",15,26,28,8,43,36
11,"1997-12-10",18,21,28,41,4,3
12,"1997-12-13",44,41,46,35,5,27
13,"1997-12-17",3,5,45,18,13,20
14,"1997-12-20",23,11,12,17,10,7
15,"1997-12-24",28,16,35,34,3,14
16,"1997-12-27",14,48,15,36,9,17
17,"1997-12-31",27,14,6,4,5,6
18,"1998-01-03",4,9,27,7,32,6
19,"1998-01-07",18,4,30,37,3,23
20,"1998-01-10",17,9,7,44,20,25
21,"1998-01-14",16,9,6,28,38,13
22,"1998-01-17",28,9,49,38,29,6
23,"1998-01-21",31,32,23,1,26,33
24,"1998-01-24",7,23,15,28,36,10
25,"1998-01-28",23,48,36,15,31,12
26,"1998-01-31",13,36,48,7,11,18
27,"1998-02-04",30,25,12,8,21,20
28,"1998-02-07",40,12,15,5,27,14
29,"1998-02-11",37,34,33,25,35,35
30,"1998-02-14",41,23,5,39,7,6
31,"1998-02-18",1,33,28,29,21,15
32,"1998-02-21",22,47,29,39,9,25
33,"1998-02-25",30,43,2,20,46,19
34,"1998-02-28",49,26,4,45,41,6
35,"1998-03-04",39,30,19,3,33,9
36,"1998-03-07",32,36,42,30,21,33
37,"1998-03-11",2,17,36,24,5,20
38,"1998-03-14",15,47,35,34,42,15
39,"1998-03-18",4,41,39,2,33,26
40,"1998-03-21",38,34,4,35,47,16
41,"1998-03-25",42,44,35,23,5,29
42,"1998-03-28",27,44,33,38,30,15
43,"1998-04-01",47,33,11,34,12,39
44,"1998-04-04",8,3,23,46,43,13
45,"1998-04-08",3,24,30,49,10,35
46,"1998-04-11",49,48,5,36,15,11
47,"1998-04-15",41,25,8,24,39,21
48,"1998-04-18",22,24,45,19,30,21
49,"1998-04-22",13,4,49,29,31,4
50,"1998-04-25",35,5,38,7,20,19
51,"1998-04-29",25,46,8,47,30,31
52,"1998-05-02",49,3,37,19,14,4
53,"1998-05-06",20,47,45,44,11,5
54,"1998-05-09",8,49,34,29,26,28
55,"1998-05-13",2,36,13,30,18,26
56,"1998-05-16",22,1,41,28,23,18
57,"1998-05-20",9,30,48,34,4,8
58,"1998-05-23",15,16,35,46,1,35
59,"1998-05-27",46,27,15,33,2,27
