DrawDate,W1,W2,W3,W4,W5,PB,Multiplier
11/05/1997, 02, 19, 35, 24, 28, 26, 0
11/08/1997, 40, 17, 21, 07, 49, 37, 0
11/12/1997, 41, 14, 13, 29, 16, 01, 0
11/15/1997, 32, 07, 45, 21, 26, 08, 0
11/19/1997, 19, 10, 48, 03, 21, 22, 0
11/22/1997, 22, 31, 03, 07, 14, 02, 0
11/26/1997, 15, 46, 34, 23, 40, 35, 0
11/29/1997, 11, 27, 13, 02, 31, 23, 0
12/03/1997, 18, 09, 14, 47, 42, 32, 0
12/06/1997, 15, 26, 28, 08, 43, 36, 0
12/10/1997, 18, 21, 28, 41, 04, 03, 0
12/13/1997, 44, 41, 46, 35, 05, 27, 0
12/17/1997, 03, 05, 45, 18, 13, 20, 0
12/20/1997, 23, 11, 12, 17, 10, 07, 0
12/24/1997, 28, 16, 35, 34, 03, 14, 0
12/27/1997, 14, 48, 15, 36, 09, 17, 0
12/31/1997, 27, 14, 06, 04, 05, 06, 0
01/03/1998, 04, 09, 27, 07, 32, 06, 0
01/07/1998, 18, 04, 30, 37, 03, 23, 0
01/10/1998, 17, 09, 07, 44, 20, 25, 0
01/14/1998, 16, 09, 06, 28, 38, 13, 0
01/17/1998, 28, 09, 49, 38, 29, 06, 0
01/21/1998, 31, 32, 23, 01, 26, 33, 0
01/24/1998, 07, 23, 15, 28, 36, 10, 0
01/28/1998, 23, 48, 36, 15, 31, 12, 0
01/31/1998, 13, 36, 48, 07, 11, 18, 0
02/04/1998, 30, 25, 12, 08, 21, 20, 0
02/07/1998, 40, 12, 15, 05, 27, 14, 0
02/11/1998, 37, 34, 33, 25, 35, 35, 0
02/14/1998, 41, 23, 05, 39, 07, 06, 0
02/18/1998, 01, 33, 28, 29, 21, 15, 0
02/21/1998, 22, 47, 29, 39, 09, 25, 0
02/25/1998, 30, 43, 02, 20, 46, 19, 0
02/28/1998, 49, 26, 04, 45, 41, 06, 0
03/04/1998, 39, 30, 19, 03, 33, 09, 0
03/07/1998, 32, 36, 42, 30, 21, 33, 0
03/11/1998, 02, 17, 36, 24, 05, 20, 0
03/14/1998, 15, 47, 35, 34, 42, 15, 0
03/18/1998, 04, 41, 39, 02, 33, 26, 0
03/21/1998, 38, 34, 04, 35, 47, 16, 0
03/25/1998, 42, 44, 35, 23, 05, 29, 0
03/28/1998, 27, 44, 33, 38, 30, 15, 0
04/01/1998, 47, 33, 11, 34, 12, 39, 0
04/04/1998, 08, 03, 23, 46, 43, 13, 0
04/08/1998, 03, 24, 30, 49, 10, 35, 0
04/11/1998, 49, 48, 05, 36, 15, 11, 0
04/15/1998, 41, 25, 08, 24, 39, 21, 0
04/18/1998, 22, 24, 45, 19, 30, 21, 0
04/22/1998, 13, 04, 49, 29, 31, 04, 0
04/25/1998, 35, 05, 38, 07, 20, 19, 0
04/29/1998, 25, 46, 08, 47, 30, 31, 0
05/02/1998, 49, 03, 37, 19, 14, 04, 0
05/06/1998, 20, 47, 45, 44, 11, 05, 0
05/09/1998, 08, 49, 34, 29, 26, 28, 0
05/13/1998, 02, 36, 13, 30, 18, 26, 0
05/16/1998, 22, 01, 41, 28, 23, 18, 0
05/20/1998, 09, 30, 48, 34, 04, 08, 0
05/23/1998, 15, 16, 35, 46, 01, 35, 0
05/27/1998, 46, 27, 15, 33, 02, 27, 0
05/30/1998, 03, 45, 29, 24, 14, 24, 0
06/03/1998, 31, 22, 25, 41, 35, 38, 0
06/06/1998, 24, 42, 26, 16, 28, 24, 0
06/10/1998, 12, 36, 38, 19, 04, 06, 0
06/13/1998, 21, 23, 06, 08, 03, 11, 0
06/17/1998, 36, 35, 07, 37, 14, 10, 0
06/20/1998, 49, 27, 26, 31, 09, 04, 0
06/24/1998, 27, 18, 16, 30, 13, 23, 0
06/27/1998, 07, 10, 31, 30, 36, 37, 0
07/01/1998, 03, 17, 29, 35, 47, 34, 0
07/04/1998, 39, 25, 38, 15, 30, 42, 0
07/08/1998, 19, 05, 16, 34, 29, 24, 0
07/11/1998, 10, 12, 01, 06, 38, 17, 0
07/15/1998, 16, 21, 36, 23, 11, 37, 0
07/18/1998, 10, 40, 14, 08, 33, 31, 0
07/22/1998, 30, 49, 01, 23, 22, 33, 0
07/25/1998, 23, 14, 03, 21, 17, 16, 0
07/29/1998, 39, 08, 43, 45, 49, 13, 0
08/01/1998, 04, 25, 20, 44, 01, 05, 0
08/05/1998, 42, 35, 19, 12, 03, 21, 0
08/08/1998, 45, 42, 05, 09, 33, 28, 0
08/12/1998, 10, 42, 33, 02, 45, 02, 0
08/15/1998, 37, 12, 49, 27, 30, 20, 0
08/19/1998, 08, 23, 43, 15, 46, 29, 0
08/22/1998, 21, 22, 11, 07, 49, 19, 0
08/26/1998, 06, 32, 46, 23, 42, 08, 0
08/29/1998, 13, 18, 14, 29, 31, 23, 0
09/02/1998, 28, 29, 44, 40, 21, 08, 0
09/05/1998, 26, 49, 10, 16, 08, 40, 0
09/09/1998, 42, 46, 12, 04, 19, 09, 0
09/12/1998, 19, 28, 33, 16, 35, 16, 0
09/16/1998, 40, 35, 06, 24, 42, 02, 0
09/19/1998, 41, 35, 19, 37, 01, 11, 0
09/23/1998, 01, 21, 42, 22, 05, 18, 0
09/26/1998, 25, 24, 05, 03, 02, 08, 0
09/30/1998, 02, 08, 03, 12, 36, 24, 0
10/03/1998, 05, 25, 32, 14, 22, 04, 0
10/07/1998, 15, 08, 26, 09, 06, 07, 0
10/10/1998, 01, 19, 08, 28, 45, 25, 0
10/14/1998, 26, 14, 18, 32, 15, 06, 0
10/17/1998, 44, 48, 47, 32, 28, 27, 0
10/21/1998, 24, 27, 22, 44, 39, 25, 0
10/24/1998, 12, 25, 17, 10, 40, 20, 0
10/28/1998, 44, 24, 35, 09, 08, 42, 0
10/31/1998, 17, 42, 33, 37, 34, 08, 0
11/04/1998, 17, 02, 36, 08, 30, 22, 0
11/07/1998, 05, 33, 10, 13, 30, 28, 0
11/11/1998, 48, 36, 14, 25, 10, 02, 0
11/14/1998, 41, 35, 10, 16, 03, 38, 0
11/18/1998, 21, 25, 33, 39, 46, 18, 0
11/21/1998, 15, 14, 21, 01, 35, 10, 0
11/25/1998, 06, 33, 48, 13, 10, 09, 0
11/28/1998, 11, 04, 43, 06, 02, 09, 0
12/02/1998, 45, 29, 36, 04, 22, 30, 0
12/05/1998, 31, 19, 09, 27, 20, 39, 0
